Topic,keyword
Topic_12,component
Topic_12,show
Topic_12,large
Topic_12,number
Topic_12,study
Topic_13,cholesterol
Topic_13,lipid
Topic_13,density
Topic_13,lipoprotein
Topic_13,level
Topic_13,high
Topic_13,triglyceride
Topic_13,total
Topic_13,low
Topic_13,profile
Topic_14,food
Topic_14,study
Topic_14,use
Topic_14,health
Topic_14,consumption
Topic_14,obesity
Topic_14,datum
Topic_14,base
Topic_14,participant
Topic_14,healthy
Topic_15,antioxidant
Topic_15,activity
Topic_15,content
Topic_15,rice
Topic_15,high
Topic_15,total
Topic_15,capacity
Topic_15,phenolic
Topic_15,acid
Topic_15,flavonoid
Topic_16,seed
Topic_16,salt
Topic_16,reference
Topic_16,requirement
Topic_16,slightly
Topic_16,nutritive
Topic_16,mm
Topic_16,scarce
Topic_16,germinate
Topic_16,germination
Topic_17,blood
Topic_17,glucose
Topic_17,woman
Topic_17,plasma
Topic_17,subject
Topic_17,fast
Topic_17,insulin
Topic_17,man
Topic_17,index
Topic_17,glycemic
Topic_18,scale
Topic_18,background
Topic_18,like
Topic_18,sensory
Topic_18,texture
Topic_18,historical
Topic_18,hedonic
Topic_18,ursolic
Topic_18,oleanic
Topic_18,rhamnoide
Topic_19,anti
Topic_19,inflammatory
Topic_19,induce
Topic_19,cell
Topic_19,expression
Topic_19,rat
Topic_19,marker
Topic_19,activity
Topic_19,function
Topic_19,effect
Topic_20,organic
Topic_20,direct
Topic_20,reverse
Topic_20,separate
Topic_20,kernel
Topic_20,byproduct
Topic_20,italian
Topic_20,oleanic
Topic_20,isorhamnetin
Topic_20,ursolic
Topic_21,patient
Topic_21,diabetes
Topic_21,type
Topic_21,control
Topic_21,mellitus
Topic_21,diabete
Topic_21,regular
Topic_21,primary
Topic_21,assessment
Topic_21,safety
Topic_22,oxidize
Topic_22,spice
Topic_22,curry
Topic_22,spicy
Topic_22,oleanic
Topic_22,ursolic
Topic_22,ig
Topic_22,nimbolide
Topic_22,tocol
Topic_22,flavon
Topic_23,milk
Topic_23,soybean
Topic_23,ferment
Topic_23,fermentation
Topic_23,production
Topic_23,ratio
Topic_23,stage
Topic_23,strain
Topic_23,isolate
Topic_23,aid
Topic_24,green
Topic_24,heat
Topic_24,previous
Topic_24,degree
Topic_24,formulation
Topic_24,possibly
Topic_24,coffee
Topic_24,preserve
Topic_24,desirable
Topic_24,viable
Topic_25,right
Topic_25,reserve
Topic_25,copyright
Topic_25,register
Topic_25,matrix
Topic_25,peptide
Topic_25,exchange
Topic_25,hexane
Topic_25,fractionation
Topic_25,mustard
Topic_26,fruit
Topic_26,vegetable
Topic_26,pulp
Topic_26,soluble
Topic_26,red
Topic_26,carotenoid
Topic_26,source
Topic_26,peel
Topic_26,rich
Topic_26,fresh
Topic_27,extract
Topic_27,water
Topic_27,polysaccharide
Topic_27,extraction
Topic_27,wild
Topic_27,percent
Topic_27,flour
Topic_27,crude
Topic_27,mushroom
Topic_27,mulberry
Topic_28,association
Topic_28,old
Topic_28,score
Topic_28,correlation
Topic_28,cooking
Topic_28,positive
Topic_28,guideline
Topic_28,relationship
Topic_28,associate
Topic_28,trend
Topic_29,product
Topic_29,palm
Topic_29,industry
Topic_29,processing
Topic_29,nutrition
Topic_29,application
Topic_29,resource
Topic_29,insect
Topic_29,effort
Topic_29,utilize
Topic_30,diet
Topic_30,dietary
Topic_30,high
Topic_30,intake
Topic_30,carbohydrate
Topic_30,low
Topic_30,fat
Topic_30,protein
Topic_30,energy
Topic_30,pattern
Topic_31,age
Topic_31,adult
Topic_31,year
Topic_31,ratio
Topic_31,mean
Topic_31,estimate
Topic_31,associate
Topic_31,up
Topic_31,subject
Topic_31,hour
Topic_32,ig
Topic_32,isorhamnetin
Topic_32,anthelmintic
Topic_32,diuretic
Topic_32,flavon
Topic_32,nimbolide
Topic_32,oleanic
Topic_32,tocol
Topic_32,ursolic
Topic_32,biloba
Topic_33,loss
Topic_33,cost
Topic_33,consumer
Topic_33,farmer
Topic_33,production
Topic_33,environmental
Topic_33,genetic
Topic_33,produce
Topic_33,waste
Topic_33,purpose
Topic_34,sugar
Topic_34,dry
Topic_34,raise
Topic_34,sucrose
Topic_34,temperature
Topic_34,powder
Topic_34,color
Topic_34,honey
Topic_34,air
Topic_34,fructose
Topic_35,mass
Topic_35,physical
Topic_35,model
Topic_35,analysis
Topic_35,body
Topic_35,regression
Topic_35,recommendation
Topic_35,use
Topic_35,logistic
Topic_35,resistant
Topic_36,vitamin
Topic_36,nutrient
Topic_36,fibre
Topic_36,leave
Topic_36,nutritional
Topic_36,western
Topic_36,clear
Topic_36,iron
Topic_36,central
Topic_36,calcium
Topic_37,person
Topic_37,eat
Topic_37,so
Topic_37,usually
Topic_37,terpenoid
Topic_37,cut
Topic_37,µg
Topic_37,hydroxycinnamic
Topic_37,destroy
Topic_37,acteoside
Topic_38,herbal
Topic_38,surface
Topic_38,hydrolysis
Topic_38,cream
Topic_38,ice
Topic_38,cation
Topic_38,reducing
Topic_38,thiocyanate
Topic_38,shake
Topic_38,rhamnoide
