,cluster,ex keyword,keyword,note
128,25,venosa,cytotoxic,
129,25,alkaloids,breast cancer,
130,26,antiviral,hiv,
131,26,covid,covid-19,
132,26,hiv,covid,
133,26,herbal,antiviral,
134,26,antihiv,virus,
135,27,atractylodes,glucopyranoside,
136,27,al,beta,
137,27,atractylodes lancea,intestinal,
138,27,new,beta glucopyranoside,
139,27,intestinal,known compounds,
140,28,aegypti,aegypti,
141,28,lc,repellent,
142,28,repellent,larvae,
143,28,larvae,mosquito,
144,28,ae,ae,
145,29,essential oil,staphylococcus,
146,29,curcuma,mrsa,
147,29,aureus,longa essential oil,
148,29,curcuma longa,longa essential,
149,29,antimicrobial,mutans,
150,30,dan,dan,
151,30,yang,yang,
152,30,dengan,dengan,
153,30,de,untuk,
154,30,untuk,sebagai,
155,31,medicinal,forest,
156,31,medicinal plants,plants used,
157,31,forest,ethnobotany,
158,31,plants used,knowledge,
159,31,knowledge,bakera,
160,32,antimalarial,antimalarial,
161,32,malaria,malaria,
162,32,plasmodium,plasmodium,
163,32,drugs,artemisinin,
164,32,antimalarial activity,antimalarial activity,
165,33,feed,feed,
166,33,broiler,broiler,
167,33,diet,birds,
168,33,birds,carcass,
169,33,groups,performance,
170,34,arthritis,arthritis,
171,34,pain,pain,
172,34,plai,knee,
173,34,curcumin,oa,
174,34,knee,osteoarthritis,
175,35,diabetic,diabetic,
176,35,glucose,glucose,
177,35,rats,diabetic rats,
178,35,group,diabetes,
179,35,control,induced diabetic,
180,36,mangosteen,malaccensis,
181,36,malaccensis,morphological,
182,36,garcinia,fruits,
183,36,mangostana,mesta,
184,36,fruit,hombroniana,
185,37,fish,fish,
186,37,diets,diets,
187,37,fed,fed,
188,37,diet,fish fed,
189,37,fish fed,aquaculture,
190,38,metabolites,metabolites,
191,38,secondary,secondary,
192,38,sesquiterpenoids,sesquiterpenoids,
193,38,sesquiterpenoid,sesquiterpenoid,
194,38,shade,mutant,
195,39,oils,turmerone,
196,39,rhizomes,ar,
197,39,rhizome,fresh,
198,39,constituents,ar turmerone,
199,39,turmerone,longa rhizome,
200,40,alp,alr,
201,40,dp,5iia,
202,40,alr,alr 5iia,
203,40,al,araf,
204,40,immune system,alp,
205,41,abstract,abstract,
206,41,cheminform,cheminform,
207,41,gy,gy,
208,41,leading journals,2000,
209,41,concise information,abstracting,
210,42,bacteria,cockroaches,
211,42,cockroaches,fumigant,
212,42,ppm,isolates,
213,42,isolates,aspergillus sp,
214,42,antibacterial,ppm,
215,43,nanoparticles,nanoparticles,
216,43,silver,silver,
217,43,nps,agnps,
218,43,agnps,nps,
219,43,silver nanoparticles,silver nanoparticles,
220,44,compound dmpbd,"(e)-4-(3,4-dimethoxyphenyl)but-3-en-1-ol (dmpbd)",
221,44,dmpbd,dmpbd,
222,44,lo,lo,
223,44,binding,binding,
224,44,compound,asthma,
,,,alpha-mangostin (?-mangostin),
,,,gamma-mangostin (?-mangostin),
