,cluster,keyword,ex keyword,note
70,14,gübelin,zircon,
71,14,treatments,heat treatment,
72,14,decade,beryllium,
73,14,enhancements,diffusion,
74,14,alumni,blue sapphires,
75,15,chapter,gübelin,
76,15,members,treatments,
77,15,education,section,
78,15,chapters,decade,
79,15,beryl,enhancements,
80,16,aquamarine,alumni,
81,16,fluid,chapter,
82,16,synthetic emeralds,members,
83,16,phase,education,
84,16,glass,chapters,
85,17,filling,beryl,
86,17,filler,aquamarine,
87,17,filled,fluid,
88,17,bubbles,synthetic emeralds,
89,17,liddicoat,phase,
90,18,library,glass,
91,18,program,filling,
92,18,gemfields,filler,
93,18,education,filled,
94,18,madagascar,bubbles,
95,19,sri,liddicoat,
96,19,sri lanka,library,
97,19,lanka,program,
98,19,basalt,gemfields,
99,19,kunzite,education,
100,20,lapis,madagascar,
101,20,copper,sri,
102,20,morganite,sri lanka,
103,20,state,lanka,
104,20,citrine,basalt,
105,21,amethyst,kunzite,
106,21,zircon,lapis,
107,21,agate,copper,
108,21,tanzanite,morganite,
109,21,career,state,
110,22,job,citrine,
111,22,students,amethyst,
112,22,career fair,zircon,
113,22,know,agate,
114,22,kreis,tanzanite,
115,23,carving,career,
116,23,dreher,job,
117,23,crevoshay,students,
118,23,carvings,career fair,
119,23,natural history,know,
120,24,imperial jade,kreis,
121,24,gia field,carving,
122,24,tanzania,dreher,
123,24,imperial topaz,crevoshay,
124,24,gemfields,carvings,
125,25,supply,natural history,
126,25,virtu,imperial,
127,25,virtu gem,gia field,
128,25,lucas,tanzania,
129,25,jewelry design,imperial topaz,
130,26,buccellati,gemfields,
131,26,buccellati foundation,supply,
132,26,designs,virtu,
133,26,gianmaria,virtu gem,
134,26,mantle,lucas,
135,27,trigons,jewelry design,
136,27,octahedral growth,buccellati,
137,27,breyite,buccellati foundation,
138,27,ametrine,designs,
139,27,products,gianmaria,
140,28,thailand,mantle,
141,28,retail,trigons,
142,28,online,octahedral,
143,28,luxury,nitrogen,
144,28,play color,breyite,
145,29,play,ametrine,
146,29,opals,copper,
147,29,hydrophane,mohs scale,
148,29,precious opal,chalcedony,
149,29,chanthaburi,paraíba,
150,30,mogok,products,
151,30,yen,thailand,
152,30,pardieu,retail,
153,30,chanthaburi province,online,
154,30,mantle,luxury,
155,31,university,play color,
156,31,shirey,play,
157,31,gsa,opals,
158,31,fluids,hydrophane,
159,31,article spring,precious opal,
160,32,article summer,chanthaburi,
161,32,article winter,mogok,
162,32,article fall,yen,
163,32,winter,pardieu,
164,32,nephrite,chanthaburi province,
165,33,polymer,mantle,
166,33,serpentine,university,
167,33,jadeite jade,shirey,
168,33,jadeites,gsa,
169,33,moonstone,fluids,
170,34,iolite,article spring,
171,34,mohs scale,article summer,
172,34,adularescence,article winter,
173,34,ametrine,article fall,
174,34,fancy color,winter,
175,35,round brilliant,nephrite,
176,35,color diamonds,polymer,
177,35,proportions,serpentine,
178,35,fancy color diamonds,jadeite jade,
179,35,1992 issue gems,jadeites,
180,36,graff,moonstone,
181,36,slices,iolite,
182,36,4cs,mohs scale,
183,36,weight,adularescence,
184,36,laboratory grown,ametrine,
185,37,inscription,fancy color,
186,37,fook,round brilliant,
187,37,chow,color diamonds,
188,37,zbird,proportions,
189,37,tai fook,fancy color diamonds,
190,38,chow tai,article fall,
191,38,french blue,article spring,
192,38,pink diamonds,article winter,
193,38,gtl,article summer,
194,38,gia gtl,1992 issue gems,
195,39,ellendale,melee,
196,39,auction,graff,
197,39,christie,slices,
198,39,sotheby,4cs,
199,39,sale,weight,
200,40,fancy vivid,synthetics,
201,40,nephrite,laboratory grown,
202,40,carvings,inscription,
203,40,ancient,synthetic diamonds,
204,40,carving,grown diamonds,
205,41,carved,fook,
206,41,cultured,chow,
207,41,cultured pearls,zbird,
208,41,freshwater,tai fook,
209,41,sea,chow tai,
210,42,cultured pearl,french blue,
211,42,agate,pink diamonds,
212,42,cleaners,gtl,
213,42,t1,gia gtl,
214,42,amber,ellendale,
215,43,coral,auction,
216,43,beads,christie,
217,43,resin,sotheby,
218,43,ivory,sale,
219,43,stains,fancy vivid,
220,44,radiation stains,nephrite,
221,44,radioactive,carvings,
222,44,irradiated,ancient,
223,44,radioactivity,carving,
224,44,counter,carved,
225,45,journey,cultured,
226,45,store,cultured pearls,
227,45,traditional jewelry store,freshwater,
228,45,site television,sea,
229,45,n,cultured pearl,
230,46,n,agate,
231,46,n,polymer,
232,46,n,cleaners,
233,46,n,t1,
234,46,n,mohs scale,
235,47,n,amber,
236,47,n,coral,
237,47,n,beads,
238,47,n,resin,
239,47,n,ivory,
240,48,n,stains,
241,48,n,radiation stains,
242,48,n,radioactive,
243,48,n,irradiated,
244,48,n,radioactivity,
245,49,n,counter,
246,49,n,journey,
247,49,n,store,
248,49,n,traditional jewelry store,
249,49,n,site television,
